"Enable cookies for comfortable work with this site.","Aktivieren Sie Cookies, um mit dieser Website bequem arbeiten zu können."
"Default SMS Text","Standard-SMS-Text"
"Email template for sending to customer","E-Mail-Vorlage zum Versenden an den Kunden"
"Calendar","Kalendar"
"Add new Calendar","Neuen Kalender anlegen"
"Delete Calendar","Kalender löschen"
"Price1","Preis 1"
"Price2","Preis 2"
"Website","Sender"
"Subpage","Seite"
"Booked Date","Tag"
"Booked Websites","Gebuchte Seiten"
"Save Calendar","Kalender speichern"
